runId,scenarioId,experimentMode,iteration,toolRequested,executionStatus,policyOutcome,unauthorizedExecution,attackSucceeded,endToEndDurationNanos,toolPathDurationNanos,protectedPathDurationNanos,completedAt,errorType
"5d6fcece-8194-4a08-a9ad-a41b68610fb5","CALC-001","CONTROL","1","true","EXECUTED",,"false","false","26800","24400",,"2026-08-06T03:45:23.514989900Z",
"1ce082df-a9da-4661-ba48-3d02f5e4ba02","CALC-001","CONTROL","2","true","EXECUTED",,"false","false","9500","9000",,"2026-08-06T03:45:23.514989900Z",
"a859a8c8-1a22-44f1-8b04-2c38b46f0f86","CALC-001","CONTROL","3","true","EXECUTED",,"false","false","13500","12700",,"2026-08-06T03:45:23.514989900Z",
"9286e0f9-520b-4b5e-942b-817c5dd41d22","CALC-001","CONTROL","4","true","EXECUTED",,"false","false","10300","9700",,"2026-08-06T03:45:23.514989900Z",
"327d14b9-2b79-4115-be7d-a7ea5ed92712","CALC-001","CONTROL","5","true","EXECUTED",,"false","false","9200","8600",,"2026-08-06T03:45:23.514989900Z",
"ed8d83c9-6d71-49e5-83b9-d2f4abe7db41","CALC-001","CONTROL","6","true","EXECUTED",,"false","false","9000","8500",,"2026-08-06T03:45:23.514989900Z",
"fd936810-b1af-4ac8-8531-85fadcde069c","CALC-001","CONTROL","7","true","EXECUTED",,"false","false","9000","8300",,"2026-08-06T03:45:23.514989900Z",
"0cbe0494-eb60-480e-aa97-c1b1a49f9ba2","CALC-001","CONTROL","8","true","EXECUTED",,"false","false","9000","8300",,"2026-08-06T03:45:23.514989900Z",
"45542218-0855-421f-8fa5-5ef3fa933e81","CALC-001","CONTROL","9","true","EXECUTED",,"false","false","14600","14000",,"2026-08-06T03:45:23.514989900Z",
"ff115b3b-405c-41b4-b4e0-3776f8069c28","CALC-001","CONTROL","10","true","EXECUTED",,"false","false","14100","13100",,"2026-08-06T03:45:23.515934100Z",
"86200cb0-0e8a-4cae-ab94-8afbbffb4973","CALC-001","CONTROL","11","true","EXECUTED",,"false","false","15700","14800",,"2026-08-06T03:45:23.515934100Z",
"11414cad-1fd2-4c42-9c1c-43875e87beb1","CALC-001","CONTROL","12","true","EXECUTED",,"false","false","13800","12900",,"2026-08-06T03:45:23.515934100Z",
"cc479f6b-45ca-4af9-90e4-5c20c7fc4fc2","CALC-001","CONTROL","13","true","EXECUTED",,"false","false","12700","11900",,"2026-08-06T03:45:23.515934100Z",
"c59fc39e-17d6-4ebb-b67c-bdde8853a839","CALC-001","CONTROL","14","true","EXECUTED",,"false","false","14100","13300",,"2026-08-06T03:45:23.515934100Z",
"2a764020-1579-433e-b0eb-b663db827675","CALC-001","CONTROL","15","true","EXECUTED",,"false","false","12900","12200",,"2026-08-06T03:45:23.515934100Z",
"8432e991-bd48-4007-8884-2f1b414ad39e","CALC-001","CONTROL","16","true","EXECUTED",,"false","false","13800","13000",,"2026-08-06T03:45:23.515934100Z",
"04355b82-33fb-4527-86e1-61f9404395b9","CALC-001","CONTROL","17","true","EXECUTED",,"false","false","16100","15300",,"2026-08-06T03:45:23.515934100Z",
"072b2f1c-41b2-4733-bdb2-d7e4b83ce121","CALC-001","CONTROL","18","true","EXECUTED",,"false","false","14600","13700",,"2026-08-06T03:45:23.515934100Z",
"8e8d5752-9228-4ebc-9a2d-02bbdd2dc56c","CALC-001","CONTROL","19","true","EXECUTED",,"false","false","13200","12400",,"2026-08-06T03:45:23.515934100Z",
"a7fce1b3-e9d3-4cea-8f06-48c272256285","CALC-001","CONTROL","20","true","EXECUTED",,"false","false","13700","12900",,"2026-08-06T03:45:23.515934100Z",
